Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer1",138.600000,-78.900000,0.000000,bottom
"C6","100uF","C_0201_0603Metric",142.745000,-96.600000,0.000000,bottom
"C7","100uF","C_0201_0603Metric",142.400000,-105.545000,-90.000000,bottom
"C8","100uF","C_0201_0603Metric",155.600000,-88.520000,90.000000,bottom
"C10","10uF","C_0201_0603Metric",153.055000,-76.400000,180.000000,bottom
"C11","100nF","C_0201_0603Metric",153.055000,-75.600000,180.000000,bottom
"C12","1uF","C_0201_0603Metric",153.000000,-106.880000,-90.000000,bottom
"GM02SP1","~","Sequans Monarch 2 GM02SP",154.900000,-96.150000,90.000000,bottom
"J2","SIM8055-6-1-14-00-1","SIM8055-6-1-14-01-A",137.500000,-97.730000,-90.000000,bottom
"J4","CONUFL001-SMD-T","CONUFL001-SMD-T",154.524000,-102.468000,180.000000,bottom
"J5","CONUFL001-SMD-T","CONUFL001-SMD-T",154.550000,-97.468000,180.000000,bottom
"L2","LQW03AW10NJ00D","LQW03AW10NJ00D",141.100000,-105.500000,180.000000,bottom
"R1","100k","R_0201_0603Metric",156.600000,-86.055000,90.000000,bottom
"R2","100k","R_0201_0603Metric",155.550000,-78.990000,180.000000,bottom
"R3","100k","R_0201_0603Metric",139.455000,-79.200000,180.000000,bottom
"R4","100k","R_0201_0603Metric",155.800000,-83.680000,-90.000000,bottom
"R5","100k","R_0201_0603Metric",155.400000,-81.080000,-90.000000,bottom
"R11","DNP","R_0201_0603Metric",156.080000,-102.200000,180.000000,bottom
"R12","0R0","R_0201_0603Metric",155.345000,-100.600000,180.000000,bottom
"R13","DNP","R_0201_0603Metric",156.080000,-101.400000,180.000000,bottom
"R15","DNP","R_0201_0603Metric",150.400000,-102.880000,90.000000,bottom
"R16","DNP","R_0201_0603Metric",150.200000,-99.880000,-90.000000,bottom
"R17","0R0","R_0201_0603Metric",151.200000,-101.200000,180.000000,bottom
"R18","5.1k","R_0201_0603Metric",141.745000,-109.000000,180.000000,bottom
"R19","5.1k","R_0201_0603Metric",138.255000,-110.400000,180.000000,bottom
"R20","100k","R_0201_0603Metric",154.000000,-106.920000,90.000000,bottom
"SW1","Tilt switch","Tilt switch",137.700000,-95.600000,90.000000,bottom
"U5","BGU8019","BGU8019",151.550000,-78.350000,-90.000000,bottom
"C1","100nF","C_0201_0603Metric",147.255000,-108.000000,0.000000,top
"C2","10uF","C_0201_0603Metric",147.280000,-108.800000,0.000000,top
"C3","10uF","C_0201_0603Metric",155.120000,-109.600000,0.000000,top
"C4","1uF","C_0201_0603Metric",156.800000,-84.200000,-90.000000,top
"C5","100uF","C_0201_0603Metric",144.000000,-87.880000,90.000000,top
"C9","DNP","C_0201_0603Metric",156.800000,-78.055000,90.000000,top
"D1","1N5819","1N5819",154.794000,-99.238000,-90.000000,top
"FL1","B39162B8813P810","Filter_1109-5_1.1x0.9mm",141.000000,-104.750000,0.000000,top
"IC1","TPS7A0518PYKAR","BGA4C35P2X2_66X66X40",151.175000,-106.325000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",141.000000,-112.000000,0.000000,top
"J6","1548130","1548130",132.500000,-96.900000,90.000000,top
"L1","0.47uH","Inductor 0.47uH",145.206000,-99.222000,0.000000,top
"Q1","NX3008PBK,215","NX3008PBK215",142.450000,-101.500000,0.000000,top
"R6","100k","R_0201_0603Metric",145.345000,-87.600000,0.000000,top
"R7","100k","R_0201_0603Metric",152.880000,-105.800000,0.000000,top
"R8","4.7k","R_0201_0603Metric",140.400000,-98.145000,90.000000,top
"R9","100k","R_0201_0603Metric",143.520000,-104.400000,180.000000,top
"R10","100k","R_0201_0603Metric",145.055000,-104.400000,180.000000,top
"R14","0","R_0201_0603Metric",147.145000,-107.200000,0.000000,top
"R21","100k","R_0201_0603Metric",156.400000,-107.745000,90.000000,top
"R22","10k","R_0201_0603Metric",156.345000,-106.200000,90.000000,top
"R23","10k","R_0201_0603Metric",156.400000,-104.655000,90.000000,top
"R24","0","R_0201_0603Metric",149.400000,-106.600000,180.000000,top
"R25","10k","R_0201_0603Metric",153.280000,-107.600000,0.000000,top
"SW2","SW_RST","SW_Push_1TS009xxxx-xxxx-xxxx_6x6x5mm",151.000000,-111.500000,0.000000,top
"U1","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",146.575000,-79.975000,0.000000,top
"U2","DMP2021UFDE","DMP2021UFDE",146.500000,-104.400000,0.000000,top
"U4","LM2575-3.3BU","TO-263-5_TabPin3",150.000000,-93.000000,0.000000,top
